order_id,customer_name,city,region,category,product,sales,discount_percent,profit,quantity,payment_mode,order_date
1,George Harris,Trichy,East,Sports,Cricket Bat,42204.19,23.7,7579.02,8,UPI,2024-10-16
2,Christopher Shannon,Chennai,East,Groceries,Oil,36664.41,10.21,6428.3,2,Card,2024-09-05
3,Amanda Baker,Madurai,South,Furniture,Sofa,43582.84,26.96,6726.7,3,Net Banking,2024-04-14
4,Shannon Baker,Madurai,West,Electronics,Laptop,21081.72,14.6,1172.83,6,Net Banking,2025-09-06
5,Beverly Williams,Madurai,West,Electronics,Laptop,7115.72,26.85,885.38,9,UPI,2024-11-19
6,Kim Murphy,Coimbatore,East,Furniture,Sofa,3738.49,24.5,223.98,10,Net Banking,2024-10-07
7,Shawn Lopez,Chennai,East,Groceries,Oil,29252.89,22.52,1501.13,5,Net Banking,2025-01-05
8,Martin Nguyen,Coimbatore,South,Clothing,Jacket,14554.82,11.72,1241.02,6,Net Banking,2024-03-17
9,Kimberly Rogers,Salem,North,Groceries,Rice,13782.3,29.89,1167.07,3,Cash,2024-07-20
10,David Wright,Trichy,South,Electronics,Mobile,3121.9,5.71,396.13,3,Card,2025-12-12
11,Richard Bowers,Coimbatore,East,Sports,Cricket Bat,44258.38,0.65,8554.54,8,Card,2025-01-13
12,Sharon Ayers,Coimbatore,South,Furniture,Sofa,1953.24,4.33,313.08,7,Cash,2024-07-07
13,Cassandra Evans,Tirunelveli,South,Furniture,Sofa,768.56,21.26,119.39,8,Cash,2024-10-31
14,Brett House,Chennai,South,Furniture,Cupboard,46111.85,19.83,9909.95,10,Net Banking,2025-03-19
15,Jonathan Levy,Salem,East,Electronics,Headphones,2970.8,3.5,410.39,3,Card,2024-10-17
16,Kristen Payne,Chennai,South,Groceries,Milk,49614.68,19.1,8467.86,6,UPI,2025-05-14
17,Alisha Edwards,Chennai,North,Groceries,Rice,17123.27,1.98,4146.72,2,Card,2025-10-10
18,William Cox,Madurai,East,Sports,Football,28581.78,8.5,2509.76,2,Card,2025-09-27
19,Michael Jones,Trichy,East,Electronics,Headphones,29579.59,25.09,2192.77,5,Net Banking,2025-07-21
20,Brittany Nguyen MD,Coimbatore,West,Furniture,Table,29217.71,8.57,5309.55,1,Card,2025-08-05
21,Jacob Hoffman,Tirunelveli,West,Furniture,Table,25874.14,19.94,2616.89,7,Card,2024-11-17
22,Christine Griffith,Madurai,East,Electronics,Mobile,17602.61,26.18,4332.09,7,Card,2024-10-14
23,Tristan Wood,Coimbatore,West,Sports,Shoes,14261.16,10.97,2290.97,3,Cash,2024-10-12
24,James Mckenzie,Chennai,West,Electronics,Headphones,44059.3,21.35,8289.86,2,Net Banking,2025-10-08
25,Sierra Miranda,Salem,South,Electronics,Mobile,3944.62,29.67,216.69,10,Card,2025-09-07
26,Ashley Whitney,Salem,South,Clothing,T-Shirt,5422.88,5.41,1274.59,6,Net Banking,2024-06-16
27,David Copeland,Trichy,West,Electronics,Laptop,14818.87,29.16,3042.44,5,Net Banking,2025-03-25
28,Patricia Bryant,Madurai,East,Groceries,Rice,36602.65,28.5,6539.4,3,UPI,2025-02-12
29,Carlos Haynes,Trichy,South,Furniture,Table,20000.57,12,4523.63,10,UPI,2025-02-02
30,Shaun Mccall,Chennai,South,Furniture,Cupboard,10079.73,1.9,2343.41,5,Card,2025-02-16
31,Robert Brown,Trichy,East,Groceries,Oil,27063.28,16.92,2651.55,7,Net Banking,2024-10-17
32,Brandon Robinson,Madurai,East,Groceries,Milk,46831.78,4.26,8123.67,2,Card,2025-02-24
33,Jacob Simpson,Coimbatore,North,Sports,Shoes,7366.7,22.4,486.33,7,Net Banking,2024-05-02
34,Luis Hall,Coimbatore,East,Furniture,Chair,36592.53,27.11,2311.06,3,Net Banking,2025-09-06
35,Rebekah Hayes,Trichy,North,Clothing,Kurti,35416.46,15.12,4083.6,10,UPI,2024-12-02
